Lipid identifier	01PCCL3Ctrl	02PCCL3Ctrl	03PCCL3Ctrl	04PCCL3TSH0	05PCCL3TSH0	06PCCL3TSH0	07PCCL3TSH24h	08PCCL3TSH24h	09PCCL3TSH24h	10PCCL3TSH48h	11PCCL3TSH48h	12PCCL3TSH48h	13Blank	14BlankStdrmix
3010005_38:1_H 1	337800918.0	326803957.0	387988095.0	231690151.5	259525846.0	214354339.5	284153109.0	265327687.0	670634778.0	156583059.0	275888294.0	233845518.5	0	0
3010006_40:1_H 1	538476164.0	501581100.0	607838672.0	374079902.0	424314173.0	352138688.0	493846430.0	457781366.0	1087669824.0	270081424.0	493354228.0	415835412.0	0	0
3010007_42:2_H 1	122243564.0	103336090.0	112394874.0	110865874.0	107806798.0	106316226.0	100553824.0	107240586.0	182439132.0	89190914.75	121871964.0	118554797.375	0	0
3010008_42:1_H 1	355703639.0	316019539.0	391810568.0	220874878.5	253658870.0	205999067.0	358600025.0	328628809.0	867691140.0	181975489.0	344515018.0	285134786.0	0	0
3010009_44:2_H 1	3037902.73828125	2115094.71484375	2570274.90625	2561112.29296875	2631927.515625	2162805.50390625	3053618.328125	3016745.3828125	7207695.0	3428499.234375	4755678.4765625	4502847.3125	0	0
3010010_44:1_H 1	1612819.96875	1054574.056640625	1865383.46875	437798.17578125	739765.5537109375	444051.52880859375	1479344.5390625	1313894.63671875	5585468.671875	377235.46240234375	1341298.2001953125	730354.3671875	0	0
3010020_36:0_H 1	3177018.62890625	2527496.203125	3629612.0859375	1695902.958984375	2191458.0859375	1630601.24609375	2721240.390625	2573742.4296875	7012392.78125	1890099.84375	3943632.7109375	3558355.7265625	0	0
3010021_38:0_H 1	4612483.1328125	4404370.4296875	4736752.734375	6304534.296875	4086827.4375	3186471.6953125	4829488.53125	4463582.84375	19024195.28125	2026476.625	4505950.890625	3819660.4453125	0	0
3010022_40:0_H 1	0	6135603.046875	8472688.4375	5992659.328125	7172414.421875	5515824.84375	8786660.0	7699925.859375	24562112.3125	4222518.109375	8622551.71875	6413990.515625	0	0
3010024_42:0_H 1	0	0	2545301.9375	0	0	1268725.13671875	3815529.5625	0	10001140.59375	0	0	0	0	0
3010027_43:1_H 1	955786.748046875	831633.326171875	1096146.369140625	0	338265.6953125	0	409005.16259765625	488073.78125	1388413.1484375	0	317088.9140625	243726.19995117188	0	0
3010028_32:1_H 1	7086351.15625	6143664.3046875	7210494.59375	2052253.8671875	2342336.64453125	2194126.634765625	3051239.890625	3285296.70703125	6624989.2265625	3694664.15625	5199719.2734375	4971238.2734375	0	0
3010030_32:0_H 1	435840.7265625	395318.24609375	459531.3359375	0	0	0	0	0	0	0	0	0	0	0
3010037_33:1_H 1	3786762.24609375	3546520.21875	4369684.7421875	1092568.2216796875	1040023.17578125	1022381.7060546875	1145769.375	1255184.4755859375	2879973.88671875	854253.21875	1289832.626953125	1206942.6201171875	0	0
3010040_34:2_H 1	9379610.75	8082978.5	8894050.0	5823610.625	5851918.75	6567928.6875	7018291.6875	6294594.0	11647684.125	9082579.25	11676432.0	11656774.375	0	0
3010044_35:1_H 1	6932915.765625	6541368.84375	8284899.921875	2207157.44921875	2253270.966796875	2019425.931640625	2846089.6953125	3130864.53125	7129135.03125	1695596.810546875	2762236.7890625	2251026.625	0	0
3010047_36:3_H 1	453240.33203125	328282.251953125	446024.78515625	0	0	0	443470.55078125	0	615238.013671875	339831.73046875	528982.5546875	456631.6953125	0	0
3010055_37:1_H 1	3332855.984375	3258661.97265625	3867113.796875	1384494.72265625	1376785.2548828125	1185092.8671875	1510515.38671875	1508004.6728515625	3520361.07421875	742110.171875	1204368.294921875	1081542.162109375	0	0
3010057_38:3_H 1	318054.1142578125	368307.552734375	0	0	0	229398.3974609375	0	0	0	0	0	343973.6171875	0	0
3010058_38:2_H 1	37199126.0	33814262.0	35409821.0	33997366.5	31265747.5	33416041.5	25479116.6875	24660159.75	43507812.5	24352942.0	33335196.0	32052108.9375	0	0
3010064_39:2_H 1	0	0	279155.603515625	0	0	0	0	0	0	0	0	0	0	0
3010065_39:1_H 1	4535837.53125	4432072.7265625	5373316.5	2335632.23046875	2645926.21484375	1846264.46875	2731815.4140625	2663022.2734375	5973125.984375	1199047.865234375	2150910.91015625	1850324.81640625	0	0
3010070_40:3_H 1	1224947.671875	842931.015625	1048477.84375	893324.265625	943992.84375	934073.21875	760320.0625	826399.578125	1196963.203125	998381.8984375	1329267.0625	1159444.421875	0	0
3010071_40:2_H 1	64678550.0	56048858.0	59598357.0	66203048.0	60895272.0	64213191.0	50745069.0	50230817.5	86123775.0	49671927.4375	68164804.375	64016281.8125	0	0
3010074_41:2_H 1	3442493.09375	3002744.375	3644072.265625	2031591.28125	2016773.892578125	2019395.1875	1519537.46875	1770506.96875	2984498.25	1115339.451171875	1437415.109375	1397119.5	0	0
3010076_41:1_H 1	13509440.5625	13100503.0625	16460891.6875	6690316.21875	7660876.765625	6229658.859375	8513065.46875	8368299.59375	20174952.875	3561709.90625	6452318.59375	5764003.921875	0	0
3010079_30:0_H 1	0	262651.681640625	0	0	0	0	0	0	0	0	0	0	0	0
3010080_42:3_H 1	8738588.875	7151955.875	8104229.125	7495716.5	6776433.375	7240608.875	6470914.7109375	6181373.875	9924808.0	5819591.6875	8130719.25	7769241.25	0	0
3010082_43:2_H 1	1413729.708984375	1355365.14453125	1262234.005859375	0	579564.2612304688	561264.3720703125	542295.583984375	610457.765625	1149313.609375	235825.564453125	458046.220703125	353043.322265625	0	0
EX3010029_36:2_H 1	9679398.875	8510477.125	9505240.5	5179105.3125	4778680.1875	4991518.5625	5557614.4375	5785582.25	9324755.375	7777284.5	10584583.75	10021909.0	0	0
IS3010002_30:1_H 1	543256817.0	664216468.0	402557409.0	811167906.0	827233156.0	787597288.0	644302270.0	599725023.0	1104267488.0	444929112.0	623027550.0	628279017.0	0	252330160.0
SMTheo_36:3_H 1	14921792.40625	14116652.25	17208386.0	7603918.609375	7659511.5	6735025.390625	9452331.25	9196114.984375	22115532.78125	8411043.671875	13998046.34375	13411120.6875	0	0
SMTheo_37:3_H 1	327889.14599609375	280039.66259765625	473625.3408203125	0	0	0	0	0	0	0	0	0	0	0
SMTheo_38:3_H 1	3647975.6640625	3641235.84375	4272062.015625	1288784.0625	1344671.677734375	1066459.966796875	1822323.45703125	1948262.408203125	3603874.328125	1599692.609375	2619300.13671875	2591718.8828125	0	0
SMTheo_40:3_H 1	7434992.40625	7168417.0625	7990510.734375	4878887.203125	5086422.265625	4125111.984375	5623512.828125	5355927.71875	8538149.484375	3557318.203125	5843554.5	5343530.484375	0	0
SMTheo_40:4_H 1	595673.29296875	539368.08203125	610181.21484375	632711.984375	521689.27734375	565176.7265625	427312.28515625	291304.39453125	0	373659.2890625	500724.9609375	646148.296875	0	0
SMTheo_41:3_H 1	284451.64453125	336068.14453125	0	0	0	0	0	0	0	0	239110.287109375	0	0	0
SMTheo_42:3_H 1	9607823.84375	8805824.5	10668251.90625	7074226.8125	8242868.875	6800233.015625	9065981.671875	8705598.4375	11612276.8125	6180176.3984375	9873920.78125	9144881.796875	0	0
SMTheo_42:4_H 1	1095975.0703125	792793.359375	922806.90625	1118298.6640625	943065.5	990666.5078125	590838.4296875	724895.7578125	695029.2568359375	1048746.734375	1117277.16796875	1149299.59375	0	0
SMTheo_43:3_H 1	0	0	0	0	0	0	0	359320.748046875	0	0	280549.943359375	0	0	0
SMTheo_44:2_H 1	553374.390625	416902.96484375	349968.43359375	0	525586.9140625	446920.87744140625	453609.2421875	506266.171875	1110242.0	678706.3671875	966901.515625	738421.7734375	0	0
SMTheo_44:3_H 1	6116945.78125	4989543.953125	6015089.875	3654107.5078125	4475556.265625	3428621.4296875	6453114.15625	5877924.984375	11602442.0	3787626.265625	7026170.109375	6004743.984375	0	0
SMTheo_44:4_H 1	2160632.4375	1534976.125	1763181.984375	1781617.390625	1907011.806640625	1666140.0	1664969.78125	1752281.765625	2232043.6875	2078920.21875	2181527.875	2388770.21875	0	0
501AA03_34:1_H 1	15627699.375	7840157.296875	12782447.4375	3986228.78515625	3938040.2109375	3370967.2578125	11887902.375	9416717.390625	27692560.6875	19338899.8125	29559820.25	27709727.625	0	0
501AA04_34:0_H 1	0	0	0	0	0	0	0	0	0	368837.96484375	546566.673828125	0	0	0
501AA05_36:1_H 1	5507642.015625	3277131.728515625	5064398.203125	590103.5424804688	608281.185546875	662126.5239257812	2884102.27734375	2453452.45703125	7531925.09375	5268391.5703125	8714846.421875	7817892.96875	0	0
501AA06_38:1_H 1	48301122.25	28845570.1875	43816673.75	12350108.375	12428324.1875	11985305.90625	30165210.5	25308778.6875	74596679.75	39734347.375	62854766.375	58051098.625	0	0
