lipid class;#db bonds;01PCCL3Ctrl;02PCCL3Ctrl;03PCCL3Ctrl;04PCCL3TSH0;05PCCL3TSH0;06PCCL3TSH0;07PCCL3TSH24h;08PCCL3TSH24h;09PCCL3TSH24h;10PCCL3TSH48h;11PCCL3TSH48h;12PCCL3TSH48h;13Blank;14BlankStdrmix
GP10_PA;8;6.07E+05;6.61E+05;6.39E+05;5.17E+05;1.52E+07;1.43E+07;3.52E+05;0.00E+00;4.84E+05;0.00E+00;5.85E+06;0.00E+00;0.00E+00;0.00E+00
GP10_PA;9;7.52E+06;0.00E+00;7.48E+06;0.00E+00;7.04E+06;6.87E+06;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.29E+06;2.37E+06;0.00E+00;0.00E+00
GP10_PA;10;0.00E+00;0.00E+00;2.48E+05;2.56E+05;5.08E+05;5.10E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP10_PA;11;0.00E+00;0.00E+00;0.00E+00;3.85E+05;3.67E+05;3.43E+05;0.00E+00;0.00E+00;0.00E+00;2.20E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP10_PA;18;0.00E+00;0.00E+00;0.00E+00;3.17E+05;3.41E+05;3.12E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.19E+05;2.39E+05
GP10_PA;SUM;4.56E+07;2.74E+07;3.51E+07;1.36E+07;6.24E+07;5.53E+07;7.04E+07;6.05E+07;1.37E+08;1.56E+07;4.98E+07;3.46E+07;4.02E+05;3.08E+06
GP12_CL;0;1.07E+07;1.29E+07;1.07E+07;1.28E+07;1.35E+07;1.25E+07;1.25E+07;1.16E+07;1.31E+07;9.17E+06;1.19E+07;1.11E+07;0.00E+00;1.90E+07
GP12_CL;1;5.59E+06;5.89E+06;5.30E+06;6.48E+06;6.81E+06;5.41E+06;4.24E+06;4.80E+06;6.98E+06;3.76E+06;4.91E+06;4.78E+06;0.00E+00;0.00E+00
GP12_CL;2;5.75E+06;6.01E+06;4.53E+06;6.60E+06;7.02E+06;6.06E+06;7.02E+06;6.83E+06;7.46E+06;4.58E+06;4.33E+06;3.72E+06;0.00E+00;0.00E+00
GP12_CL;3;3.02E+06;2.84E+06;2.82E+06;4.78E+06;5.05E+06;3.63E+06;4.91E+06;4.98E+06;6.72E+06;4.51E+06;4.78E+06;4.74E+06;0.00E+00;0.00E+00
GP12_CL;4;1.44E+07;1.50E+07;1.66E+07;1.99E+07;2.25E+07;2.29E+07;2.00E+07;2.02E+07;1.22E+07;2.30E+07;2.55E+07;2.15E+07;0.00E+00;0.00E+00
GP12_CL;5;1.94E+07;1.99E+07;1.93E+07;2.14E+07;2.35E+07;2.35E+07;1.50E+07;1.68E+07;9.75E+06;1.43E+07;1.55E+07;1.60E+07;0.00E+00;0.00E+00
GP12_CL;6;1.50E+07;1.63E+07;1.90E+07;1.77E+07;1.90E+07;1.85E+07;1.00E+07;1.13E+07;6.36E+06;7.26E+06;9.34E+06;8.23E+06;0.00E+00;0.00E+00
GP12_CL;7;8.80E+06;8.45E+06;9.89E+06;1.04E+07;1.11E+07;1.18E+07;4.84E+06;5.99E+06;3.02E+06;3.09E+06;4.49E+06;3.91E+06;0.00E+00;0.00E+00
GP12_CL;8;4.55E+06;4.58E+06;4.16E+06;5.79E+06;5.38E+06;5.85E+06;1.81E+06;2.73E+06;1.01E+06;1.32E+06;2.28E+06;1.56E+06;0.00E+00;0.00E+00
GP12_CL;9;2.22E+06;1.72E+06;2.64E+06;4.91E+06;4.86E+06;5.76E+06;1.74E+06;1.87E+06;6.58E+05;1.20E+06;1.91E+06;1.92E+06;0.00E+00;0.00E+00
GP12_CL;10;6.71E+05;5.80E+05;6.93E+05;1.44E+06;1.59E+06;1.71E+06;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
GP12_CL;SUM;9.01E+07;9.42E+07;9.57E+07;1.12E+08;1.20E+08;1.18E+08;8.21E+07;8.71E+07;6.73E+07;7.21E+07;8.50E+07;7.75E+07;0.00E+00;1.90E+07
SP00_OthSL;0;0.00E+00;6.61E+05;8.49E+05;0.00E+00;7.67E+05;7.23E+05;7.86E+05;0.00E+00;0.00E+00;6.97E+05;0.00E+00;0.00E+00;8.03E+05;0.00E+00
SP00_OthSL;1;2.64E+07;3.33E+07;1.99E+07;3.18E+07;3.09E+07;3.03E+07;2.64E+07;2.45E+07;3.94E+07;4.60E+07;4.16E+07;5.06E+07;8.37E+05;3.68E+07
SP00_OthSL;2;1.40E+08;1.55E+08;1.12E+08;2.00E+08;1.89E+08;1.73E+08;1.48E+08;1.49E+08;3.03E+08;2.80E+08;3.22E+08;3.82E+08;7.70E+07;1.02E+08
SP00_OthSL;3;4.21E+06;4.26E+06;4.51E+06;5.49E+06;5.17E+06;5.33E+06;3.34E+06;3.65E+06;4.46E+06;4.06E+06;4.66E+06;5.09E+06;4.73E+05;6.98E+05
SP00_OthSL;5;0.00E+00;3.42E+05;0.00E+00;6.72E+05;5.95E+05;0.00E+00;4.04E+05;5.49E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
SP00_OthSL;SUM;1.71E+08;1.94E+08;1.38E+08;2.38E+08;2.26E+08;2.10E+08;1.79E+08;1.78E+08;3.46E+08;3.31E+08;3.68E+08;4.38E+08;7.91E+07;1.39E+08
SP02_CER;0;1.47E+07;2.27E+07;1.71E+07;2.50E+07;2.66E+07;2.23E+07;2.17E+07;2.07E+07;2.53E+07;1.00E+07;1.19E+07;1.23E+07;1.69E+08;1.84E+08
SP02_CER;1;3.92E+08;2.36E+08;3.58E+08;4.39E+08;4.44E+08;4.16E+08;3.48E+08;3.44E+08;4.44E+08;5.72E+08;5.66E+08;6.01E+08;9.92E+06;9.40E+06
SP02_CER;2;1.03E+08;6.69E+07;9.42E+07;8.60E+07;8.75E+07;8.56E+07;7.33E+07;7.38E+07;8.83E+07;1.29E+08;1.30E+08;1.32E+08;2.56E+06;3.76E+06
SP02_CER;3;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;3.16E+05;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
SP02_CER;5;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.38E+05;3.53E+05;4.96E+05;0.00E+00;0.00E+00
SP02_CER;SUM;5.10E+08;3.26E+08;4.69E+08;5.50E+08;5.58E+08;5.24E+08;4.43E+08;4.39E+08;5.58E+08;7.11E+08;7.08E+08;7.46E+08;1.81E+08;1.97E+08
SP03_PxCer;0;2.59E+07;2.84E+07;3.67E+07;2.63E+07;2.83E+07;2.36E+07;3.85E+07;3.25E+07;1.05E+08;2.14E+07;4.10E+07;3.82E+07;0.00E+00;0.00E+00
SP03_PxCer;1;2.49E+09;2.49E+09;2.60E+09;2.05E+09;2.20E+09;1.94E+09;2.33E+09;2.17E+09;5.01E+09;1.49E+09;2.42E+09;2.18E+09;0.00E+00;2.52E+08
SP03_PxCer;2;2.52E+08;2.17E+08;2.34E+08;2.27E+08;2.16E+08;2.21E+08;1.95E+08;2.00E+08;3.45E+08;1.86E+08;2.53E+08;2.43E+08;0.00E+00;0.00E+00
SP03_PxCer;3;5.31E+07;4.80E+07;5.62E+07;3.29E+07;3.45E+07;3.06E+07;4.01E+07;3.85E+07;6.92E+07;3.07E+07;4.99E+07;4.62E+07;0.00E+00;0.00E+00
SP03_PxCer;4;3.85E+06;2.87E+06;3.30E+06;3.53E+06;3.37E+06;3.22E+06;2.68E+06;2.77E+06;2.93E+06;3.50E+06;3.80E+06;4.18E+06;0.00E+00;0.00E+00
SP03_PxCer;SUM;2.82E+09;2.78E+09;2.93E+09;2.33E+09;2.48E+09;2.22E+09;2.61E+09;2.45E+09;5.53E+09;1.73E+09;2.77E+09;2.51E+09;0.00E+00;2.52E+08
SP05_GlcCer;0;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;3.69E+05;5.47E+05;0.00E+00;0.00E+00;0.00E+00
SP05_GlcCer;1;3.04E+08;2.00E+08;2.61E+08;1.33E+08;1.31E+08;1.24E+08;2.18E+08;1.80E+08;4.77E+08;2.72E+08;4.04E+08;3.88E+08;0.00E+00;4.66E+07
SP05_GlcCer;2;8.53E+06;4.69E+06;7.59E+06;2.46E+06;1.85E+06;1.35E+06;6.23E+06;5.72E+06;1.36E+07;1.35E+07;1.64E+07;1.71E+07;2.03E+05;2.01E+05
SP05_GlcCer;SUM;3.12E+08;2.05E+08;2.68E+08;1.36E+08;1.33E+08;1.25E+08;2.24E+08;1.86E+08;4.90E+08;2.86E+08;4.21E+08;4.05E+08;2.03E+05;4.68E+07
