Class	Lipid	Occurence	m/z	RTmin	RTmax	01pcDNA	02pcDNA	03pcDNA	04Creb3L1ACAoverex	05Creb3L1ACAoverex	06Creb3L1ACAoverex	07Scram	08Scram	09Scram	10siCreb3L1	11siCreb3L1	12siCreb3L1	BlankCal25	BlankCal5
GP01_PC	1011550_39:7	H 1	818.5694	4.66	4.71	1073445.328125	1048682.46875	1025800.46875	0	528914.109375	581213.5390625	551726.328125	591296.625	631780.453125	0	702086.703125	0	0	0
GP01_PC	1011664_38:8	H 1	802.53815	4.75	4.82	830031.421875	668303.36328125	684234.59375	0	315904.576171875	0	351408.6337890625	376317.763671875	232705.79296875	338528.525390625	383256.6015625	300498.3046875	0	0
GP01_PC	1011670_40:9	H 1	828.55377	4.7	4.76	3301330.15625	3206649.828125	3113058.609375	1282119.046875	1324329.234375	1418282.859375	805890.40625	981073.859375	977794.75	1273434.6875	1239407.0625	1073230.265625	0	0
GP01_PC	1011752_41:1	H 1	858.69464	4.63	4.7	557409.580078125	396000.359375	445733.50390625	0	324748.2236328125	411950.0224609375	0	0	0	378869.322265625	438379.546875	252087.2783203125	0	0
GP01_PC	1011753_41:2	H 1	856.67896	4.65	4.7	666065.9755859375	749844.08984375	562587.904296875	0	744140.2890625	851976.4013671875	571072.89453125	863242.9599609375	831371.8623046875	737830.306640625	1003025.150390625	762729.8110351562	0	0
GP01_PC	1011754_41:4	H 1	852.64764	4.63	4.67	1192084.77734375	0	0	0	0	1692517.80078125	325135.9228515625	0	555780.84375	0	0	0	0	0
GP01_PC	1011755_41:6	H 1	848.61639	4.63	4.69	0	1409067.869140625	0	0	921920.26171875	773632.99609375	0	1247306.34765625	928799.53515625	1244117.20703125	889602.97265625	0	0	0
GP01_PC	1011784_41:3	H 1	854.66333	4.63	4.7	0	770819.6318359375	465776.90283203125	1199871.78125	0	1333928.3779296875	596908.9296875	891520.984375	473729.43359375	532416.53515625	0	845528.76171875	0	0
GP01_PC	1011785_41:5	H 1	850.63202	4.62	4.7	1216734.6328125	968256.74609375	418891.6640625	0	0	0	0	714011.69921875	668389.35546875	620423.142578125	844695.08203125	0	0	0
GP01_PC	1011786_41:7	H 1	846.60071	4.62	4.65	0	0	0	0	0	0	0	0	950914.4921875	1024741.171875	1017318.39453125	0	0	0
GP01_PC	1011804_42:4	H 1	866.66333	4.59	4.66	17367882.5	13470853.53125	12950719.96875	16484722.1875	19929525.75	22901092.75	7256700.75	8944037.5	8407240.25	10718235.6875	10098569.875	10257026.9375	0	0
GP01_PC	1011832_42:3	H 1	868.67896	4.62	4.67	9765907.1875	8023247.90625	7419883.03125	10557049.0	13206591.1875	14652467.3125	7326995.40625	10393289.125	7685665.5625	8885657.40625	11212704.4375	8911542.15625	0	0
GP01_PC	1011834_42:7	H 1	860.61639	4.59	4.66	28669233.3125	22975848.75	21894170.5	16035890.5	14959816.40625	17446509.5	13398133.0	17898553.25	14852962.0	18873481.125	18532508.75	17347581.75	0	0
GP01_PC	1011865_42:8	H 1	858.60071	4.57	4.66	9723962.015625	7796103.265625	7833651.546875	2418610.78125	2979919.8125	3804536.3125	2304229.6875	2907838.625	2739499.9375	3314599.53125	3041522.625	3081181.875	0	0
GP01_PC	1011896_42:9	H 1	856.58508	4.53	4.66	7573278.8125	6016320.74609375	5781930.3203125	2665635.71875	3706767.1875	4483965.625	2469378.859375	2982688.62890625	2307639.34765625	3250387.28125	2911618.53125	2848043.80078125	0	0
GP01_PC	1012002_44:4	H 1	894.69464	4.5	4.55	0	0	0	1573762.92578125	0	0	0	1314181.0859375	1115619.28515625	0	1651286.3974609375	1486631.18359375	0	0
GP01_PC	1012003_44:6	H 1	890.66333	4.5	4.58	6231598.9375	4414579.4921875	4637128.9609375	3131654.60546875	3438198.71875	0	1679901.978515625	2462516.0	1885513.791015625	2469228.41015625	2600777.15234375	2627144.7734375	0	0
GP01_PC	1012032_44:3	H 1	896.71027	4.5	4.61	705938.0322265625	609134.1538085938	575375.927734375	0	1236023.99609375	1110537.78515625	613743.4814453125	715152.75390625	674586.28125	823381.41015625	1150178.5390625	685498.5244140625	0	0
GP01_PC	1012033_44:5	H 1	892.67896	4.5	4.57	2429748.203125	2099889.7421875	2063566.6640625	1749502.2734375	2090944.13671875	2412182.625	1130093.3671875	1680553.640625	1283330.66015625	1765445.140625	1626963.55078125	1578093.5595703125	0	0
GP01_PC	1012034_44:7	H 1	888.64764	4.5	4.63	8678946.90625	7113376.96875	6435520.5	2476628.333984375	3819155.1510416665	7544270.625	2878703.7734375	3307894.265625	3538351.1953125	3781875.125	3897395.890625	3739219.8125	0	0
GP01_PC	1012065_44:8	H 1	886.63202	4.5	4.59	4884477.3125	3407683.0625	3285913.75	1634386.578125	1653125.796875	2255108.25	674094.234375	1065485.5400390625	1077626.390625	1002634.734375	1012892.234375	863450.6953125	0	0
GP01_PC	1012096_44:10	H 1	882.60071	4.51	4.61	2470125.9453125	1742667.9375	2244337.59375	0	794061.078125	966984.46875	783616.3203125	0	0	0	0	0	0	0
GP01_PC	1020003_34:1	H 1	746.60583	4.91	4.98	36089352.8125	27739624.625	24699519.125	24802476.9375	20078807.375	24025033.8125	36445017.875	47946706.875	38684486.375	62698922.125	67084231.5	56652390.0	0	0
GP01_PC	1020009_14:0	H 1	468.30847	4.51	4.57	0	0	0	0	0	0	199212.9326171875	254633.109375	0	226559.8935546875	353145.0234375	240277.82421875	0	0
GP01_PC	1020011_29:0	H 1	678.54321	5.08	5.16	0	0	0	0	0	0	140159.9833984375	0	0	214019.427734375	293460.958984375	192185.671875	0	0
GP01_PC	1020012_30:0	H 1	692.55884	5.04	5.11	4273321.6875	4051575.1953125	3352908.8671875	1264440.091796875	1321818.970703125	1640628.69140625	2580255.921875	3502910.5859375	2817655.73828125	4414875.8203125	5233940.7421875	4013973.7734375	0	0
GP01_PC	1020014_30:1	H 1	690.54321	4.95	5.04	5791927.6796875	4796049.859375	4090312.0390625	5429183.359375	4754517.9765625	5933161.671875	2490820.814453125	3059825.49609375	2867151.05078125	3690534.14453125	4374674.83203125	3360010.54296875	0	0
GP01_PC	1020015_32:0	H 1	720.59015	4.99	5.04	11107128.1875	11418139.8125	9478160.390625	2196497.23828125	2116474.6953125	2583424.9375	4340447.9765625	5505151.90625	4709054.0	7660066.90625	9533865.1875	7023862.359375	0	0
GP01_PC	1020016_32:1	H 2	718.57452	4.88	4.98	65011876.125	59760464.75	52595926.5	37669836.8125	32550679.0	39964636.0	20386734.625	27688423.6875	22893393.5	31424274.75	39415344.28125	30199832.4375	0	0
GP01_PC	1020017_32:2	H 1	716.55884	4.83	4.9	20238429.0	16591238.5	15242776.25	37726558.75	33011531.625	43726988.25	9104952.3125	13417438.25	9846094.0625	13191392.4375	17327891.5625	12844541.875	0	0
GP01_PC	1020018_32:3	H 1	714.54321	4.82	4.87	1018634.265625	559283.75	570293.677734375	2037441.9375	1554644.15625	2127913.9375	160450.6884765625	352926.623046875	0	457894.50390625	473967.84765625	328816.87890625	0	0
GP01_PC	1020021_34:4	H 1	740.55884	4.75	4.88	2491311.8125	1942021.859375	1909259.359375	3172659.9375	2302887.5	3122070.625	1150617.515625	674956.34765625	1011972.578125	1795603.1875	1503876.359375	0	0	0
GP01_PC	1020023_36:0	H 1	776.65277	4.88	4.91	0	202301.71875	0	0	0	0	0	0	0	0	0	0	0	0
GP01_PC	1020026_35:4	H 1	754.57452	4.7	4.83	405938.94140625	0	369151.40234375	0	0	0	358082.931640625	469307.07421875	390609.3359375	255671.80859375	779962.3564453125	530620.28515625	0	0
GP01_PC	1020033_34:0	H 1	748.62146	4.95	5.0	1026836.064453125	980743.619140625	841039.2626953125	0	0	393197.96435546875	0	0	638066.03125	1292043.43359375	1675535.50390625	1304489.07421875	0	0
GP01_PC	1020039_34:2	H 1	744.59015	4.55	4.58	0	0	0	0	0	0	0	0	0	1623710.3984375	0	0	0	0
GP01_PC	1020039_34:2	H 2	744.59015	4.79	4.86	79760080.625	61879937.375	56175356.875	95684796.75	84326978.125	98713394.75	31312647.5625	44984750.5625	34820224.5625	53190091.125	62473129.625	48612197.25	0	0
GP01_PC	1020041_34:3	H 2	742.57452	4.78	4.86	22022231.25	16253107.5	14857313.765625	22872239.5	18412981.0	23265903.75	5828347.259765625	8140539.5	6004084.5185546875	8788008.875	10699127.625	7411800.462890625	0	0
GP01_PC	1020041_34:3	H 3	742.57452	4.98	5.04	0	529698.953125	531268.9375	0	0	0	0	0	0	0	0	0	0	0
GP01_PC	1020052_36:1	H 1	774.63708	4.83	4.9	7787258.921875	5730997.546875	5421363.5	10230176.0625	7962931.203125	10319407.703125	6965412.5625	10420878.625	7579098.0625	11391376.03125	15196485.75	10589269.1875	0	0
GP01_PC	1020053_36:3	H 1	770.60583	4.71	4.79	22977027.28125	19091033.4375	17466072.65625	42090682.875	36061622.125	45279058.375	15528969.75	19839970.6875	16991880.75	23026318.4375	25862114.5625	20396128.75	0	0
GP01_PC	1020054_36:4	H 1	768.59015	4.63	4.76	0	0	0	78212087.25	68761959.375	76464882.0	8853110.6953125	17402762.890625	10661161.46875	15549484.875	17045610.625	14469490.25	0	0
