,CREB3L1_CA_mean,CREB3L1_CA_std,CREB3L1_CA_n,pcDNA_mean,pcDNA_std,pcDNA_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(49:2),4.3621034910012884e-05,2.209730046238748e-06,3,4.922394465976768e-05,5.376699215732869e-06,3,0.7686454871714126,0.8861751168362938,-0.17433627734005824
DAG(49:3),1.9630316289967646e-05,2.0754226103997417e-06,3,2.5414747188148628e-05,1.4441629459921742e-06,3,1.7787746518766825,0.772398644953731,-0.37258246156752933
DAG(50:2),4.500345779990734e-05,6.432037111785397e-06,3,5.354001987338999e-05,6.828839671552972e-06,3,0.7209652174635347,0.8405573607617315,-0.2505818206218715
DAG(51:13),0.0012718248548362818,0.00032594988111932954,3,0.0019603619652761683,0.00037774696376484076,3,1.1240881037369719,0.6487704196286587,-0.6242200528104599
DAG(51:2),4.4156742601779875e-05,7.01162558572975e-06,3,4.1981467226561406e-05,8.964749497565743e-07,3,0.2060256300503528,1.0518151346040185,0.0728811610689831
DAG(51:3),1.6041334064742287e-05,6.923192464142491e-06,3,1.3220373308039954e-05,7.512320749174488e-07,3,0.28267589533171533,1.2133798109155336,0.2790312120872632
DAG(52:2),4.158313456661376e-05,2.955345505929141e-06,3,3.327155949156847e-05,1.3031362582550049e-06,3,1.9513634834830647,1.249810204332369,0.32170902444071386
DAG(53:2),3.930033748333373e-05,4.520596849275254e-06,3,3.145126375090577e-05,4.491844705429848e-06,3,1.0007034691877181,1.2495630634938133,0.321423713824699
DAG(54:2),3.434960778857408e-05,4.45189227290186e-06,3,2.826005803791804e-05,1.6058443693266795e-06,3,1.0469843289519425,1.2154825634995288,0.2815291975762742
DAG(55:2),2.7610588497673673e-05,4.104478531674174e-06,3,2.642289116212275e-05,2.6017586395974494e-06,3,0.15874447874000133,1.0449495601470549,0.06343330490714244
DAG(56:14),0.0004771396982170812,0.00011602784406809719,3,0.0005289562004743924,8.222775070727581e-05,3,0.2500776050229681,0.9020400891211034,-0.148736542680556
DAG(56:2),3.1141407671500526e-05,3.0405602523274472e-06,3,2.9753490622194897e-05,1.6907069093544523e-06,3,0.2777094993138037,1.0466472007244185,0.06577522685482347
DAG(57:2),4.72096526526273e-05,5.226995336803976e-06,3,4.353611464421301e-05,8.313880497283415e-06,3,0.2577793898698538,1.0843790962614663,0.11686920750755952
DAG(57:3),1.6362151993525778e-05,1.7298947047284966e-06,3,1.037697150119894e-05,5.896591306891525e-07,3,2.3218749639087246,1.5767752654650076,0.6569770504242384
DAG(59:2),2.6049590705349294e-05,8.626566259867653e-06,3,3.2010868493267775e-05,1.271886427622328e-06,3,0.5201011012218536,0.8137733192346156,-0.2973011145972827
DAG(60:2),2.233380016696537e-05,3.883413085152105e-06,3,2.0904082306223643e-05,3.7881294668790353e-06,3,0.172798381006327,1.0683941940046833,0.09544404104128526
DAG(25:7),0.00013707899450196513,1.016437175788612e-05,3,0.00014826712239952766,1.5278204042789133e-05,3,0.4552888572251994,0.9245407362300155,-0.11319120720783592
DAG(26:2),0.000617329312923627,1.3648298388168178e-05,3,0.0005738908186378229,0.00011923795682613961,3,0.24815820498171356,1.0756912166479837,0.10526400341184709
DAG(45:1),6.3158879887316e-05,6.548486517394683e-06,3,6.389819972494293e-05,6.169665359410634e-07,3,0.06796903550019748,0.988429723516321,-0.016789699634641067
DAG(45:2),6.471200513043458e-05,1.3448397397708204e-06,3,6.91850021795008e-05,2.455043147864811e-06,3,1.2971345282879518,0.9353473020429919,-0.0964259460352585
DAG(46:0),1.2169370001974205e-05,1.2866112437182347e-06,3,1.4393573078072797e-05,1.5895808036835735e-06,3,0.8771405230313838,0.8454724852519804,-0.24217029002907406
DAG(46:1),7.63138369429603e-05,5.081138000058384e-06,3,5.931691590005828e-05,1.3606805121094161e-05,3,0.9484147194122143,1.2865442477073445,0.36350107607692034
DAG(46:2),5.381792702704273e-05,6.740800754519162e-06,3,5.81657097898945e-05,1.3704951374234668e-06,3,0.47480412185013815,0.9252517887505065,-0.11208207525731036
DAG(47:1),6.0984365264418955e-05,1.0040672081542637e-05,3,7.300591478819314e-05,6.970791454200917e-07,3,0.9690824837346961,0.8353345813328763,-0.25957393065666595
DAG(47:2),5.6199374974392765e-05,6.106488159461921e-06,3,4.9146788956269395e-05,2.754912123460582e-06,3,0.8467668198679935,1.1435004436281428,0.19345692545225063
DAG(48:0),3.671810087178426e-05,6.4934848196716555e-06,3,5.9984394138445575e-05,6.846842856097912e-06,3,1.887916342625586,0.6121275608292035,-0.7080957684411879
DAG(48:1),0.0001044017474464778,6.282930225510389e-06,3,0.00012889195802977496,2.123638276807386e-05,3,0.8929512451663256,0.8099942699478602,-0.3040163927506509
DAG(48:2),7.7896850396281e-05,1.8183018829660862e-05,3,7.849708619384823e-05,1.518711125564767e-05,3,0.014528194426110799,0.9923534002767318,-0.011074105291986375
DAG(49:1),5.0731879963443196e-05,1.1629165779753086e-05,3,5.041390839328881e-05,2.5818791042372715e-06,3,0.015319396051871565,1.0063072191839169,0.00907081799587232
DAG(49:2),5.012700548641487e-05,1.5109892713184966e-06,3,4.764025988067783e-05,4.592744687263207e-06,3,0.37329716217258674,1.0521984055495388,0.07340676899686234
DAG(50:0),5.381975399675036e-05,1.0759474144469614e-05,3,8.097621249705918e-05,2.196320695922019e-05,3,0.8968789499033163,0.6646365931069563,-0.5893623687539001
DAG(50:1),0.00019797718995200227,4.3038688457100265e-05,3,0.0003506090362307897,6.162953003054794e-05,3,1.6105088276681734,0.5646665359237435,-0.8245289600927012
DAG(50:2),0.00015390258513993445,2.2662232601757958e-05,3,0.00023646059490753317,3.477167228218467e-05,3,1.5822362197854998,0.6508593332437371,-0.6195823197916674
DAG(50:3),4.299371058338317e-05,5.238072476771755e-06,3,5.006836359331278e-05,1.9347266540150033e-06,3,1.0304491285934105,0.8587001351313484,-0.21977367608030002
DAG(51:1),4.5770544892717925e-05,9.631935834868594e-07,3,3.917903670153532e-05,4.994824015414595e-07,3,3.3360189642713425,1.1682406905865632,0.22433754077805057
DAG(51:2),5.061689716810409e-05,1.1643675061022605e-05,3,6.606638614569646e-05,6.499693208532969e-06,3,0.9384284249630152,0.7661520497954656,-0.38429735845865476
DAG(52:0),3.3870265444502675e-05,1.0191811266802966e-05,3,5.839085618647101e-05,1.0908289245464527e-05,3,1.3312949028879995,0.5800611201236388,-0.785723172141055
DAG(52:1),0.00020628278233713248,3.876864671029676e-05,3,0.00036931714348830395,6.553848798533374e-05,3,1.6843970193868871,0.5585518732998251,-0.8402368233512111
DAG(52:2),0.0002789783250049433,3.34236403730501e-05,3,0.0005391640867348195,8.30238309980325e-05,3,2.1363092601305276,0.5174274991022445,-0.9505713656343328
DAG(52:3),0.0001482060678288248,3.2074176049666203e-05,3,0.0002623277453479176,7.877855920147562e-05,3,1.0926342847236825,0.5649652789576773,-0.8237658882706675
DAG(52:4),8.303798787909915e-05,1.7249882976951247e-05,3,7.830524987953905e-05,3.397858589811697e-06,3,0.17698625275075963,1.060439600241883,0.08466245121920507
DAG(52:5),6.041846080907299e-05,2.0234506813092395e-05,3,4.4046691636796065e-05,1.0678153451354566e-05,3,0.5483009973148883,1.3716912340948701,0.4559557692862071
DAG(52:6),8.880066065318314e-05,1.7274364354035303e-05,3,4.793910708135945e-05,1.0194933274737686e-05,3,1.6150131962665963,1.8523636767467497,0.8893673724267972
DAG(53:1),5.617725026944522e-05,9.346110241602815e-06,3,4.782518779545298e-05,1.238748334456245e-06,3,0.6995880711879912,1.1746373168405273,0.23221537639391293
DAG(53:2),3.6294116258249076e-05,7.032969467499641e-06,3,2.5319715653695856e-05,5.243897409427836e-06,3,1.0170012247792113,1.4334330114387093,0.5194744847504864
DAG(54:0),4.0082629399866406e-05,4.237751145317549e-06,3,3.3435774753950936e-05,1.1009077609250553e-05,3,0.41526625098072517,1.1987946950483044,0.2615846047095059
DAG(54:1),0.0001788857362371737,3.2518820113429495e-05,3,0.0003137460173292998,5.1409134013355557e-05,3,1.733748671824172,0.570160978487959,-0.810558789508909
DAG(54:2),0.0002552374335963013,4.855947054517784e-05,3,0.0005456408774942534,0.00011067625845202785,3,1.8500139478594233,0.4677754987280795,-1.0961117970901577
DAG(54:3),0.0002137689193140481,2.7654562847938538e-05,3,0.0005325232185156748,8.364806389334473e-05,3,2.480344226041028,0.40142647659550984,-1.316792320256273
DAG(54:4),0.00019747443911137216,3.906602203581081e-05,3,0.00037951901270878767,7.527314230815164e-05,3,1.6880223062977107,0.5203281851465453,-0.9425062375250491
DAG(54:5),0.00025567186694413184,5.867413589479443e-05,3,0.00021240410064857438,2.652713146492607e-05,3,0.5097912702591021,1.203704948084522,0.26748180231267543
DAG(54:6),0.0006374976273140219,0.00016128485794259754,3,0.00044031233708064047,6.702869714215686e-05,3,0.9129582420251822,1.4478304912843452,0.5338927048392481
DAG(54:7),0.0002424708269338319,5.453783987107335e-05,3,0.00018928721761198974,3.080704564607961e-05,3,0.6668639748654636,1.2809677800371102,0.3572341882749767
DAG(55:1),4.183576734129738e-05,1.2764400407899535e-06,3,5.0008645036056665e-05,2.841682099203661e-06,3,1.980292019249187,0.8365707031480942,-0.2574406194526749
DAG(55:2),4.081057141837559e-05,1.226307598192842e-05,3,3.76866710010026e-05,2.141500500261733e-06,3,0.16352386958215887,1.0828913866467507,0.11488854875962988
DAG(55:6),3.392069720355348e-05,1.2284768928161204e-05,3,1.8506161476830475e-05,1.0515907350771969e-06,3,1.016353592702776,1.8329407341453197,0.8741601388854715
DAG(55:7),3.945782520973067e-05,4.571037176418856e-06,3,1.849240262975618e-05,1.0508089048674707e-06,3,2.8241375790604852,2.133731673473244,1.0933787620624749
DAG(56:1),0.00012932953327016413,2.0039070611681072e-05,3,0.00017594113444179666,6.630740321647604e-05,3,0.5106380507725248,0.7350727485103707,-0.44404105756224443
DAG(56:2),0.00020734586664587635,3.252618811984259e-05,3,0.00046473596217311996,8.337794516305179e-05,3,2.11973198736648,0.4461584287050233,-1.1643719997166115
DAG(56:3),0.00023167852415520475,4.166881813568564e-05,3,0.0005563102656398416,9.394485732833095e-05,3,2.265192141279491,0.4164555976488033,-1.2637654107412715
DAG(56:4),0.00025151670562650023,4.595472989600958e-05,3,0.0005743265252448926,7.689127910238807e-05,3,2.4739718844823275,0.4379332915526644,-1.19121696769947
DAG(56:5),0.00038503951511112975,7.744256763478025e-05,3,0.00044224083118573005,7.042322581519137e-05,3,0.4006804079971334,0.8706557331641384,-0.19982572076895425
DAG(56:6),0.0009488721947396248,0.00019127659757723812,3,0.0007347688864646507,0.0001283076126143061,3,0.7383298493822149,1.2913886423595518,0.3689232438878446
DAG(56:7),0.0010550035483605107,0.0002549673546852611,3,0.0008050481694425645,0.00010262348599902395,3,0.7204873304262482,1.3104849975511672,0.39010083776978566
DAG(56:8),0.00032125444916732826,6.777976417714005e-05,3,0.00022577038576717813,3.3841034883333245e-05,3,1.0249211502297702,1.4229255447993805,0.5088601741912038
DAG(57:1),3.818453478220153e-05,5.520717598188386e-06,3,4.4819545756381696e-05,2.562352819527134e-06,3,0.8793351166065302,0.8519616639971094,-0.23113958040523533
DAG(57:2),5.082824981488449e-05,8.141173385518523e-06,3,3.8190312534246426e-05,4.278240061476179e-06,3,1.1193015530844446,1.3309199753027745,0.41242382842136377
DAG(57:3),1.9861367381190406e-05,2.099850574361091e-06,3,2.2418710845088756e-05,4.749453864473813e-06,3,0.3548345824390137,0.8859281659159904,-0.17473837001020728
DAG(57:7),3.067003676812541e-05,3.2426012311829015e-06,3,2.099845363595908e-05,1.1932122889000417e-06,3,2.0783256805345514,1.4605854935719695,0.5465468070150388
DAG(57:8),2.2364943753038847e-05,2.364542132675527e-06,3,1.0798538496800003e-05,6.136141765447412e-07,3,2.9191569733873597,2.071108396721129,1.0504030626456236
DAG(58:10),0.0001137642256061861,3.222344342317842e-05,3,2.1142637454195012e-05,1.2014053638169977e-06,3,2.117818701688993,5.380796310425008,2.4278196947314137
DAG(58:1),5.7487823302511595e-05,1.809156254970528e-05,3,9.119929934773415e-05,1.2010199566940688e-05,3,1.2618503183858165,0.6303537824705874,-0.6657663345931265
DAG(58:2),0.00011842565707015814,1.9044387471597484e-05,3,0.00023048673296474233,5.30079518437152e-05,3,1.5825216026149576,0.5138068276071828,-0.9607020335906769
DAG(58:3),0.0001492410522474733,3.0545973602503814e-05,3,0.0003654510443629579,5.532364578141783e-05,3,2.3910909822192306,0.40837495076153174,-1.292033719172229
DAG(58:4),0.0001934948631089734,5.122518544371424e-05,3,0.00046744188544729564,9.537912546200218e-05,3,1.9262834212651876,0.4139442123887079,-1.272491747291731
DAG(58:5),0.0003224763405991109,8.036131791505797e-05,3,0.000466500507116264,6.737870999946777e-05,3,1.1186407854637346,0.6912668596922693,-0.5326853324184162
DAG(58:6),0.0007594750771881485,0.00018908121846836323,3,0.0006329521918847819,9.745265381107474e-05,3,0.4423419742663585,1.1998932730236882,0.26290608806126087
DAG(58:7),0.0010365265830537722,0.00019518912960615726,3,0.0008109655634145614,0.0001535499237513407,3,0.7194301184608431,1.2781388382134116,0.3540445579771545
DAG(58:8),0.000629629477359096,0.00020540480055085037,3,0.0004111452135705819,5.532314337726811e-05,3,0.824290696464877,1.5314041282180864,0.6148550515116512
DAG(58:9),0.0002512527825155653,6.83781306067395e-05,3,0.00011181459520085752,2.5392806140109148e-05,3,1.5283553376228023,2.2470481788556205,1.168031057606793
DAG(59:1),3.944160696231569e-05,4.916115033456869e-06,3,3.8209779168652355e-05,2.1712255031064567e-06,3,0.147741814483452,1.0322385478394478,0.04577641263674713
DAG(59:2),2.7733188903135115e-05,2.674277016958125e-06,3,4.246669026928028e-05,1.1742909695557312e-06,3,3.024349988068765,0.6530574605009154,-0.6147181592678116
DAG(60:10),0.0002165214544026506,7.372067893300533e-05,3,5.526261117790578e-05,8.397673492271156e-06,3,1.7055391161376954,3.9180460312598617,1.970134347243127
DAG(60:1),3.6257321476138856e-05,7.210980026989466e-06,3,4.742993172582921e-05,4.792312339262952e-06,3,1.0500744003520033,0.7644396725200003,-0.3875254423403704
DAG(60:2),5.08811067172381e-05,7.672183829062272e-06,3,8.463521303019e-05,1.4084546975483633e-05,3,1.6602691554682925,0.6011812919888136,-0.7341279798029217
DAG(60:3),5.494992783655792e-05,1.1682122339141541e-05,3,0.00010237312999951367,3.761189384548739e-05,3,0.9773438039066891,0.5367612364379106,-0.8976476074366186
DAG(60:4),7.576609217638445e-05,2.4258104396982873e-05,3,0.0002025032718165631,3.686206718974924e-05,3,2.117651152796057,0.37414749646621465,-1.4183209732468611
DAG(60:5),0.00015677021560888064,3.2339013357942346e-05,3,0.00024463058945393875,4.26213325987438e-05,3,1.331057396071891,0.6408446955011681,-0.6419533233436172
DAG(60:6),0.00041315291574396977,9.10389181522995e-05,3,0.0003597286744197658,4.5275924651213624e-05,3,0.3827280237124993,1.1485126016444922,0.19976668625896
DAG(60:7),0.0006182748435510269,0.00010776986941964488,3,0.000512224211947754,8.491840517386079e-05,3,0.599165274238793,1.2070394743739485,0.27147285799210996
DAG(60:8),0.0004147445155714237,0.00011023669779363512,3,0.0003241659376768651,9.515398232856941e-05,3,0.4660158853771244,1.2794204059306475,0.3554903986154128
DAG(60:9),0.0003150377709693287,6.510732207084803e-05,3,0.0001649619520767055,3.541811610481103e-05,3,1.6066657587673558,1.9097602022970703,0.9333914986402281
DAG(23:3),4.200640559672889e-05,4.441143110955807e-06,3,5.0795185231170426e-05,2.935419329420156e-06,3,1.3376771696834908,0.8269761278663808,-0.2740824108425318
DAG(24:3),4.207389921010192e-05,3.819581502426109e-06,3,3.846189807153221e-05,2.185551861532442e-06,3,0.6417098181213451,1.0939111515467084,0.12949556589252528
DAG(26:3),4.5748396959653235e-05,4.836766562346794e-06,3,4.9895222471915296e-05,4.547722903865416e-07,3,0.6708824784034411,0.9168893271375591,-0.12518049064795728
DAG(41:3),3.0886035215578163e-05,1.609983774256687e-06,3,4.061259279795795e-05,4.6543686831581045e-07,3,3.2590458805581908,0.760503900089116,-0.39497244835139833
DAG(43:3),2.2302965247199475e-05,6.006088003292581e-06,3,2.2689259669750548e-05,1.5535491864678878e-06,3,0.03653935881942117,0.9829745691056601,-0.02477400232938344
DAG(44:3),2.1691523490267142e-05,2.293344520827978e-06,3,3.858722524732813e-05,2.192673430048172e-06,3,3.1146661182418716,0.5621426094059229,-0.8309919221221682
DAG(45:3),2.5663097766293228e-05,2.0236931758982968e-06,3,2.736344171406414e-05,1.554895207326542e-06,3,0.5047942287064165,0.9378607426091076,-0.09255437349231495
DAG(47:3),2.545443404123961e-05,3.6310227124924695e-06,3,1.865948849917549e-05,7.49696204889024e-07,3,1.472143997991993,1.3641549736137928,0.4480075497607819
DAG(48:3),2.6991752142455932e-05,3.0115784394081203e-06,3,2.542831388710241e-05,2.868804103486507e-06,3,0.259230686488315,1.0614841496095626,0.08608282866165166
DAG(50:3),2.1067472117110634e-05,3.7240199012174972e-06,3,1.911606667192689e-05,1.086247876334818e-06,3,0.3637474522700881,1.102081954341031,0.1402315113184215
