Class,PCCL3Ctrl,PCCL3Ctrl,PCCL3Ctrl,PCCL3TSH0,PCCL3TSH0,PCCL3TSH0,PCCL3TSH24,PCCL3TSH24,PCCL3TSH24,PCCL3TSH48,PCCL3TSH48,PCCL3TSH48
GL03_TAG,40511624.5,33728316.125,41157631.625,13462354.125,12739261.46875,13647004.25,28870658.375,28469274.0,35942572.25,113994150.75,119786436.0,109862072.0
GL03_TAG,813486.400390625,1050011.89453125,953573.34765625,471299.48046875,558962.162109375,646624.84375,566655.15625,566655.15625,566655.15625,707212.783203125,996645.90625,846988.859375
GL03_TAG,8191795.75,6674076.125,8417150.75,4045822.6875,3601748.125,3463235.439453125,7475395.3671875,7489037.625,9243796.375,21525350.9375,20860709.59375,20284241.71875
GL03_TAG,1358635.6328125,1171710.28125,1514959.0703125,484599.23828125,484599.23828125,484599.23828125,694614.548828125,694614.548828125,694614.548828125,1562221.51171875,1563869.1171875,1323865.734375
GL03_TAG,2678804.84375,2296468.375,3008830.234375,1319311.3984375,1192365.796875,1444401.59375,2681480.1875,2432958.0625,3164944.71875,4786377.5703125,4543992.8125,4597911.25
GL03_TAG,1828569.9375,1977161.1875,2317960.7734375,854969.07421875,854969.07421875,854969.07421875,976672.8828125,1263009.033203125,1146643.20703125,2157082.0,2295046.59375,2098715.703125
GL03_TAG,1661555.5625,1193064.3125,1426582.15625,646852.3984375,567175.0546875,589258.5078125,985136.828125,1015398.5625,1150422.734375,1489414.09375,1525733.09375,1385085.609375
GL03_TAG,11495319.5,10250201.15625,13081941.75,3440982.015625,3659179.21875,3441937.2734375,4962153.8125,5353256.609375,4762100.46875,19100035.0,21053641.25,20236364.4375
GL03_TAG,21695231.6875,18017583.1875,25350077.75,6565459.0625,7182404.5,6603746.25,10025385.84375,11783359.84375,13605201.96875,48708143.5,55077345.875,48823727.125
GL03_TAG,740444.76171875,971340.0546875,824594.654296875,589176.8193359375,644715.75390625,533637.884765625,627773.40625,629106.3125,790989.666015625,689914.1279296875,661065.1606445312,632216.193359375
GL03_TAG,16442833.125,15371938.0,20439369.25,7409216.0625,6458834.34375,6550605.0625,10908425.5625,11719011.25,12755646.9375,52026650.5,49599902.0625,51576858.5
GL03_TAG,602897.55078125,727254.828125,783647.818359375,473770.6484375,473770.6484375,473770.6484375,450504.017578125,537115.0439453125,623726.0703125,731307.5859375,809942.580078125,770625.0830078125
GL03_TAG,7238949.0,7353490.625,9414832.625,4767408.0625,4663523.5625,3557345.6015625,4270275.1875,5464268.0625,6669347.5625,17057941.5,17186069.75,15814299.25
GL03_TAG,3858451.75,3775272.3125,4137158.3125,1840721.0,1897772.125,2048147.59375,2315256.5,2508417.53125,3155478.625,6464626.75,6060804.625,6111771.9921875
GL03_TAG,3671094.6640625,3490688.828125,4563138.421875,1319283.78515625,1319283.78515625,1319283.78515625,1518870.7578125,1796124.9375,1687378.6015625,5812671.59375,5905802.78125,6013030.765625
GL03_TAG,2944854.46875,2831318.03125,3718603.1875,1017766.25,1145468.1875,1425584.9140625,1462072.9765625,1571993.46875,1657668.609375,2304178.3125,2250829.84375,2206781.0
GL03_TAG,8000691.0703125,8172532.21875,9819905.84375,3213355.546875,2378546.2265625,2811296.5703125,3070803.625,4083873.2578125,3768857.0,18858114.4375,19106511.375,17038845.4375
GL03_TAG,1612008.21875,1023818.6171875,1765020.5078125,926623.40625,865782.546875,866391.6875,1177910.8359375,1061190.4609375,1288475.046875,1517699.5625,1439299.359375,1427875.0625
GL03_TAG,8041384.4375,8779364.0,10819155.875,3979943.5625,3629703.609375,3428626.453125,3124057.015625,3680988.109375,4193072.0,21491428.375,20471395.875,20529597.0
GL03_TAG,3761239.9375,3853294.25,5746790.375,2918477.5625,2777031.328125,2796086.0,1997877.75,2207118.5,2485207.9375,8322755.5,7756238.0,7946000.0
GL03_TAG,2894221.65625,2509577.09375,4053667.25,1599810.0625,1828570.5,1629888.53125,1098169.84375,1506875.2890625,1216033.03125,3911240.3125,3667165.0,3696100.125
GL03_TAG,374456.1611328125,676040.8515625,532644.201171875,455471.611328125,515931.6103515625,633536.99609375,408877.55859375,509464.96875,540731.7490234375,490313.05859375,455418.265625,472865.662109375
GL03_TAG,1175908.630859375,1373083.7958984375,1570258.9609375,846830.357421875,775181.064453125,854654.53125,638327.5859375,787259.888671875,712793.7373046875,1714353.1484375,1791716.54296875,1744899.90625
GL03_TAG,2642461.6875,2231520.03125,3001207.125,943997.6328125,867462.1005859375,983707.5625,777264.03125,980924.75,725911.0966796875,1690080.96875,2028179.921875,1617261.671875
GL03_TAG,2819221.671875,3178143.46875,3779739.3125,1361645.3046875,1200296.9921875,1314267.6640625,1495830.681640625,1563046.4140625,1428614.94921875,5294839.078125,5267016.9140625,5166238.203125
GL03_TAG,2489333.4375,1914519.0,2656938.9375,750662.3935546875,800492.6875,857408.7265625,681035.515625,853470.93359375,868508.15625,1572929.68359375,1395721.75,1304651.46875
GL03_TAG,2738248.6015625,3059785.8125,3943856.3359375,1331095.7265625,1357455.40625,1344275.56640625,1074554.943359375,1071440.4296875,1072997.6865234375,7390646.53125,7298216.84375,7037130.96875
GL03_TAG,488116.6875,442748.01171875,602115.3515625,405900.6328125,370396.83203125,388148.732421875,333550.6796875,267933.064453125,413805.87890625,803764.3125,715251.015625,610245.05078125
GL03_TAG,1805371.40625,2316913.96875,3100931.90625,1548968.1484375,1227221.046875,1462749.0,854458.140625,854458.140625,854458.140625,4624409.5625,3340226.9375,3106274.375
GL03_TAG,1343647.09375,1332338.3125,2168662.59375,1143849.0546875,936762.1640625,746052.67578125,456094.15234375,496526.1640625,476310.158203125,1929329.21875,2548442.9375,1709014.0625
GL03_TAG,713798.517578125,737580.67578125,690016.359375,528542.4533691406,529430.6328125,527654.2739257812,538649.9658203125,538649.9658203125,538649.9658203125,465529.6787109375,515165.79296875,490347.73583984375
GL03_TAG,964925.96484375,1013685.9765625,1497816.232421875,922691.16015625,816676.126953125,710661.09375,449211.724609375,449211.724609375,449211.724609375,2035733.484375,1999234.046875,1778157.2890625
GL03_TAG,1526409.6484375,1307534.8359375,1184610.001953125,1019857.642578125,1129337.572265625,1074597.607421875,2059498.98046875,2332670.0,3008117.9296875,2931612.693359375,3491529.3671875,3547607.9296875
GL03_TAG,1222470.828125,1205888.0859375,1189305.34375,1427966.953125,1427966.953125,1427966.953125,2114028.203125,2506707.796875,3317184.1015625,1966249.4375,2174968.5625,2040404.84375
GL03_TAG,4760837.25,2908635.125,3098749.59375,1356869.53125,1829729.078125,1398544.3125,9455051.125,8703018.25,12825892.5625,13814985.875,13915957.375,12258495.34375
GL03_TAG,1120713.6875,999919.015625,781526.3046875,540534.8681640625,667287.3125,413782.423828125,2637729.96875,2557037.375,3599421.0625,2700872.59375,2918789.375,2664035.875
GL03_TAG,798648.9853515625,1053318.69921875,950615.484375,751247.625,881293.9794921875,795584.2392578125,1127760.017578125,1489974.228515625,1724857.5078125,822024.25390625,1040562.87109375,962095.21484375
GL03_TAG,669255.27734375,818392.1328125,556043.1953125,611892.54296875,680929.3828125,542855.703125,1106832.96875,1501207.6875,2028945.53125,855368.46875,1023333.078125,894883.546875
GL03_TAG,1433853.71484375,1749261.1171875,1368250.51953125,1356325.35546875,1556917.12109375,1256392.56640625,1935599.34375,2387664.171875,3324567.1875,1446950.1796875,1777339.3046875,1477343.390625
GL03_TAG,20715975.8125,11703783.96875,16325923.25,4523290.421875,4348338.390625,4681081.953125,19126132.3125,19335997.3125,23305993.875,34543297.625,40035910.0,38007251.375
GL03_TAG,22754421.5,17833074.0,23895832.28125,11364394.625,9206316.5,8215437.625,22852741.25,22314274.25,24907642.5,69237354.0,74849622.0,69324058.0
GL03_TAG,893448.041015625,807659.1884765625,663006.3232421875,511703.845703125,511703.845703125,511703.845703125,765745.333984375,788393.978515625,946199.697265625,708709.9453125,729433.75390625,843242.4453125
GL03_TAG,552557.78515625,495801.0546875,537346.69140625,515985.9096679688,515985.9096679688,515985.9096679688,574064.3359375,541299.671875,962020.62890625,746031.24609375,758042.939453125,752037.0927734375
GL03_TAG,3278676.140625,1646793.296875,2990292.375,433208.05859375,455179.5390625,359297.3125,1724164.8125,1842378.72265625,2057587.64453125,3161210.7265625,3454745.5390625,3343872.9609375
GL03_TAG,3153761.578125,1921320.71875,2964581.53125,1117927.11328125,852487.890625,944500.373046875,1986218.22265625,2588512.21875,2904526.890625,4164108.265625,4960499.40625,4102175.25
GL03_TAG,979710.3828125,855256.578125,909007.25,648394.625,648394.625,648394.625,965694.546875,1059878.265625,1143525.890625,1137100.921875,1557985.0,1242734.140625
GL03_TAG,5210335.578125,3456567.640625,4836344.421875,657529.642578125,596527.1923828125,535524.7421875,1875769.0546875,2407405.28125,2302056.296875,4341334.546875,4563273.609375,4696103.3828125
GL03_TAG,8802113.21875,6908792.78125,9477427.4375,1586514.50390625,1826639.60546875,1909712.05859375,4533547.90625,4886222.875,6006187.34375,12156674.3125,13955269.90625,13596782.78125
GL03_TAG,3168037.34375,2137904.8125,3130352.875,835405.75390625,957612.4765625,927511.703125,2452661.609375,2423654.921875,2575776.6875,5466636.3125,5173057.0,5477811.5
GL03_TAG,3766288.640625,2801715.03125,4095974.75,353731.3786621094,349460.1904296875,408743.5356445313,1090421.9375,1400128.0546875,1193904.86328125,2629538.0859375,3150629.453125,2670101.8828125
GL03_TAG,13196630.5,9799158.15625,13677235.09375,1878894.296875,1635609.51171875,1808869.2265625,3804033.171875,4530072.953125,4431457.421875,17193847.5625,18865186.25,17331586.5
GL03_TAG,7396171.875,6632888.8125,8513106.375,1205030.796875,1497894.578125,1548900.984375,3567899.53125,4023551.125,4860978.5,17059247.375,15239401.25,16810493.5
GL03_TAG,1905912.21875,1548991.04296875,2062940.4296875,367011.783203125,338438.2802734375,352010.28125,568845.7099609375,679685.37109375,458006.048828125,1265449.171875,1309463.40625,1100597.08984375
GL03_TAG,12818192.3125,10140350.71875,14078444.875,2229914.70703125,2023700.4296875,2143224.171875,2866581.46875,3801591.25,3717869.9453125,15233455.3125,15274033.5625,15491169.75
GL03_TAG,13192751.4375,11533338.875,15297202.3125,2759287.375,2214678.859375,2626254.625,3828761.59375,4601851.7265625,4477667.78125,23329751.625,24275424.6875,21280359.25
GL03_TAG,4117950.625,3825262.0,4803878.375,775035.171875,1008762.4375,891898.8046875,1850946.5234375,1929666.9375,1772226.109375,7385083.0,7518873.125,6972704.75
GL03_TAG,7594052.3125,6937452.1875,9537995.0625,2238220.03125,2098604.96875,2342513.828125,1831343.421875,2434096.671875,2601301.4453125,7724392.03125,8742907.75,7755047.78125
GL03_TAG,12749463.1875,11780704.1875,16496090.75,3144342.6015625,2823763.8359375,2889376.47265625,2445305.0,3568919.28125,3188091.2421875,16103353.96875,19883228.625,17323515.4375
GL03_TAG,5460159.625,5346264.125,7060597.125,1870114.21875,2099135.546875,1551972.8125,1445607.03125,1520726.4375,1506836.53125,7634971.625,8349181.0,7923227.5
GL03_TAG,2259917.96875,2203148.34375,3605497.9375,887331.625,895749.1015625,904166.578125,474389.109375,803380.4453125,638884.77734375,2536837.15625,2467017.375,2574032.6875
GL03_TAG,1075844.515625,1258066.015625,1424478.2421875,408989.5859375,346446.5927734375,377718.08935546875,309472.02734375,309472.02734375,309472.02734375,691010.75,774646.1328125,708817.8359375
GL03_TAG,3103679.09375,2677675.9296875,3573596.453125,1683336.77734375,1703766.890625,1564146.8203125,1021805.27734375,1059098.4453125,1040451.861328125,2299944.890625,2405649.125,2786480.203125
GL03_TAG,5545049.484375,5438004.1875,7042401.40625,2846870.046875,2589416.828125,2942195.015625,1582221.69140625,1971827.8671875,2059137.4609375,6942277.84375,7111366.34375,7451179.5625
GL03_TAG,3903373.8125,4224768.15625,6004775.125,2627815.1796875,2366333.546875,2487841.34375,1329509.3671875,1513402.21875,1145616.515625,4662980.875,4082274.375,5197776.75
GL03_TAG,2179522.875,2256084.59375,3382342.3125,1962010.09375,1928485.421875,1796252.625,895234.234375,973797.28125,934515.7578125,1825140.15625,1677729.53125,1725898.25
GL03_TAG,1118190.0546875,1107933.609375,1787827.84375,878667.78125,676942.515625,826169.859375,308386.46875,376930.6640625,342658.56640625,739965.734375,762139.859375,652132.015625
GL03_TAG,593958.55859375,593958.55859375,593958.55859375,539530.9150390625,509536.654296875,569525.17578125,480002.578125,503270.50146484375,526538.4248046875,384665.8505859375,530146.0703125,538647.654296875
GL03_TAG,1026337.8291015624,955572.03515625,1289397.05859375,965616.966796875,891424.431640625,896252.3828125,600102.2236328125,772753.212890625,761928.19140625,748359.564453125,700199.3125,752323.837890625
GL03_TAG,1644403.375,1747448.2265625,2408318.6640625,1843187.3515625,1793537.9296875,1839936.1796875,829063.609375,1092876.09765625,1156770.3671875,1882507.6953125,2075110.078125,1786232.42578125
GL03_TAG,1437501.5390625,1665383.63671875,1893265.734375,1668384.328125,1538234.484375,1406480.771484375,631521.7734375,631521.7734375,631521.7734375,1265824.609375,1514558.34375,1587143.2421875
GL03_TAG,1132329.875,1223426.5390625,1314523.203125,1378468.59375,1488089.140625,1269638.359375,520757.8125,654052.4921875,627149.625,636954.4609375,626982.46875,766394.671875
GL03_TAG,1258805.0830078125,1178570.28125,1763002.546875,709774.1875,499407.0,778820.7734375,370291.2626953125,370291.2626953125,370291.2626953125,288954.3046875,288954.3046875,288954.3046875
GL03_TAG,418710.65234375,534955.953125,393473.244140625,516435.04296875,568503.052734375,535393.7392578125,509817.498046875,464437.478515625,487127.48828125,408350.888671875,533372.66015625,470861.7744140625
