,siCREB3L1_mean,siCREB3L1_std,siCREB3L1_n,Scramble_mean,Scramble_std,Scramble_n,minuslog10_pvalue,fold_change,log2_fold_change
DAG(48:1),0.0001594939241129262,1.1364534730421158e-05,3,0.00013887507762001073,9.702603033089817e-06,3,1.123940760803704,1.1484704588200674,0.1997137479113857
DAG(48:2),7.186729894464228e-05,1.3428608564028549e-05,3,7.727326125448582e-05,8.196564024770938e-06,3,0.23375792757669664,0.9300409711964924,-0.1046338220645283
DAG(49:1),6.28922463471762e-05,5.859777264849376e-06,3,6.0470751613040146e-05,1.9098636602728654e-05,3,0.07367277196783406,1.0400440654290442,0.05664465493288858
DAG(49:2),4.572336213473777e-05,6.028894831241657e-06,3,5.5506754855506065e-05,1.1991629290307234e-05,3,0.5601114005480535,0.8237441056275726,-0.2797318580592919
DAG(50:0),9.757345874870684e-05,1.7481295422793163e-05,3,7.987504386059416e-05,6.155332796470837e-06,3,0.7607867320258506,1.2215762775542471,0.28874395104966727
DAG(50:1),0.00031184790444877626,1.3800406695883635e-05,3,0.0002697141270989104,3.1638823493535757e-05,3,0.9913822880623888,1.156216427382072,0.20941147524833786
DAG(50:2),0.00016171043315319695,2.2678751911323324e-05,3,0.000168328098850826,3.375791075535846e-05,3,0.10125057911034864,0.9606859119611771,-0.05786326359901445
DAG(50:3),2.4020388342125547e-05,1.2257171286110365e-06,3,2.6444682308426616e-05,1.6874055638627641e-06,3,0.9417119360163284,0.908325842676939,-0.13871816820119875
DAG(51:1),5.614780992179437e-05,5.506166201916329e-06,3,5.5545391435363145e-05,8.7832625640179e-06,3,0.034013754824142435,1.01084551698825,0.015562533438412122
DAG(51:2),5.129157679817564e-05,7.09470127302638e-06,3,5.697671885797603e-05,1.9067810377073415e-05,3,0.18462797051803623,0.9002199113295458,-0.15165061985651504
DAG(52:0),4.969052959907645e-05,3.617060166557438e-06,3,4.147838567658822e-05,1.27958262556378e-06,3,1.6839665575616038,1.1979861026058072,0.2606111720515923
DAG(52:1),0.0002742144080251797,1.4114057800440941e-05,3,0.00024510586835264496,2.6440964788279152e-05,3,0.7751239702400298,1.1187590483580547,0.1618993507286296
DAG(52:2),0.00029368609892585794,3.766144033140044e-05,3,0.0003029752224646919,2.6353307581449964e-05,3,0.12844228232558647,0.9693403194384436,-0.04492483381968925
DAG(52:3),8.334963568357489e-05,1.1232119102394038e-05,3,8.805833673662189e-05,1.0977556755203701e-05,3,0.19999047645026372,0.9465274813544288,-0.07928370133219091
DAG(52:4),1.7495612193198598e-05,4.063502409847719e-06,3,1.807703640401744e-05,3.572621003594298e-06,3,0.06479208969121267,0.9678363091258904,-0.04716503083977754
DAG(53:1),4.605166942320287e-05,1.0918626592473789e-05,3,5.6433424541757916e-05,1.0429225416913428e-05,3,0.5235615361441521,0.8160353513391152,-0.2932964425718331
DAG(53:2),3.5666518624539175e-05,1.4674292113684155e-05,3,3.273998068201159e-05,1.3403140971903584e-05,3,0.09083976259777166,1.0893872837296914,0.12351693200534554
DAG(54:0),1.702220820891451e-05,3.278987399032382e-06,3,1.596981356306396e-05,9.397211808272063e-07,3,0.20663485125471417,1.0658989938545431,0.09207073268498529
DAG(54:1),0.00016636344188954264,9.29587122466647e-06,3,0.00016740863028697495,1.6400681260864543e-05,3,0.03239736168680166,0.9937566635863359,-0.009035465650071444
DAG(54:2),0.00022638129832009963,6.442221324326579e-06,3,0.00026106581518542366,4.077379127072791e-05,3,0.6590064066400956,0.8671426328234927,-0.20565877878444502
DAG(54:3),0.00014640798715216503,1.2909550800582911e-05,3,0.00015738820307491732,7.942263381420165e-06,3,0.5561397596749595,0.9302348225074679,-0.10433314801719297
DAG(54:4),5.8518238818340345e-05,1.3819162845033312e-05,3,5.7383353864350185e-05,4.257939161376447e-06,3,0.04651179060412333,1.0197772503272107,0.028254059115387926
DAG(54:5),4.7455471933422204e-05,9.848207198630438e-06,3,3.522329373232608e-05,5.4844421286076605e-06,3,0.8749951299816495,1.3472752518277438,0.4300446272511327
DAG(54:6),5.609944405868319e-05,1.179605762452892e-05,3,5.593299266668065e-05,8.292343794135261e-06,3,0.006561398357310685,1.0029759071357842,0.004286950842220247
DAG(55:1),3.66849434691502e-05,9.519794468666862e-06,3,4.259002742134935e-05,1.1904744967042493e-05,3,0.26842551543382104,0.8613505482450319,-0.21532759676569108
DAG(55:2),3.709916316391947e-05,4.307366494065328e-06,3,3.777378063738939e-05,3.816274076077815e-06,3,0.07108675106978425,0.982140588998863,-0.025998540272158373
DAG(56:1),8.648398647209932e-05,2.897265340709331e-06,3,9.781156468728089e-05,9.892947455827697e-06,3,0.8869040433689008,0.8841897862344025,-0.17757202586804102
DAG(56:2),0.00013439858704460318,1.0264998375503048e-05,3,0.00015803848336795636,1.244376013123813e-05,3,1.1931521020334246,0.8504168363327488,-0.23375793563203087
DAG(56:3),0.00010721634693312093,1.5005348238876359e-05,3,0.0001146573209487097,3.004260725363142e-05,3,0.14226717422175816,0.9351024953834619,-0.09680358926971802
DAG(56:4),8.362751562762719e-05,2.255683181546428e-05,3,7.904895716174851e-05,6.242239235825077e-06,3,0.12391234186201691,1.057920542285082,0.08123127437436731
DAG(56:5),6.707503256860496e-05,1.8814308810939334e-05,3,5.8518683722562594e-05,2.134972845379191e-06,3,0.3209730854550345,1.1462156750928996,0.19687853110301576
DAG(56:6),0.00012026897880464445,1.9938327791502442e-05,3,0.00011228106784577674,5.0171286623312015e-06,3,0.2693263680525299,1.0711421000184953,0.09914988381651378
DAG(56:7),8.864040471076266e-05,1.353577172749183e-05,3,8.057581416649504e-05,1.1816638315945961e-05,3,0.31845252512135963,1.100086987983809,0.13761760754172056
DAG(56:8),1.6968603754032853e-05,3.979903658250956e-06,3,1.8277853847769356e-05,1.2145601422498464e-06,3,0.2113127774210794,0.928369593900857,-0.1072288227939408
DAG(57:1),4.931515555130891e-05,4.2669877811671505e-06,3,4.047520332934131e-05,3.0903175511944844e-06,3,1.3580739885829576,1.2184041461147976,0.28499275630182846
DAG(57:2),3.880819025137008e-05,2.1729515886494358e-06,3,4.111134109175472e-05,9.735375541691581e-06,3,0.14895476640850192,0.9439777253861816,-0.08317527751850172
DAG(58:1),3.971363500972739e-05,4.835780606126265e-06,3,5.483307935183896e-05,1.245804951812498e-05,3,0.9150363809263018,0.724264175551824,-0.46541207818328884
DAG(58:2),7.62545048739819e-05,3.350964423817462e-06,3,8.188674390532746e-05,9.17795449265312e-06,3,0.4264659763340096,0.9312191599917905,-0.10280735264119989
DAG(58:3),4.156843881896548e-05,7.1073950644565014e-06,3,5.326004519180839e-05,2.4756400143659218e-06,3,1.2626420001312693,0.7804807275184,-0.35756508684422217
DAG(58:4),4.387506621408317e-05,6.361463427256183e-06,3,4.66446476406957e-05,9.566811053412691e-06,3,0.15631885043331056,0.9406238107328702,-0.08831024218174685
DAG(58:5),4.191013913710272e-05,8.85196025111705e-06,3,4.550098644157997e-05,5.785995262558091e-06,3,0.23058488494189064,0.9210819899676759,-0.11859851158379764
DAG(58:6),7.453817518938382e-05,5.631683147446553e-06,3,8.932483995599775e-05,1.0542982174425405e-05,3,1.0052930869388463,0.8344618946544098,-0.26108192384746476
DAG(58:7),8.827357082386414e-05,1.624021101734526e-05,3,9.621499298839759e-05,6.423758585094608e-06,3,0.3233232470645486,0.9174616978302842,-0.1242801652734742
DAG(58:8),3.0177449667425707e-05,6.9759244036157964e-06,3,3.202410089469178e-05,4.165197101961271e-06,3,0.14635799986957923,0.9423355792770385,-0.08568717905756747
DAG(59:1),3.945704650737516e-05,2.2963770978421295e-06,3,4.312281795092413e-05,9.489828288533396e-06,3,0.2588778809075633,0.9149923029677512,-0.12816848757479243
DAG(59:2),3.616535951229226e-05,8.047267682120387e-06,3,3.7639485697971144e-05,7.832467949220911e-06,3,0.08024913124061714,0.9608356448462753,-0.05763842210248167
DAG(60:1),3.6796706644837004e-05,3.403644120188391e-07,3,3.7797464012424225e-05,6.8603253691911036e-06,3,0.08980050913282066,0.9735231610443953,-0.03871279244265683
DAG(60:2),3.988279809239725e-05,5.0057098764781035e-06,3,4.181786175671937e-05,3.4684918455678177e-06,3,0.2136989522536869,0.9537263843000966,-0.06835266579728429
DAG(60:3),1.2716721194595556e-05,9.608035648903333e-07,3,1.732875635717146e-05,1.6228901535266626e-06,3,1.8758176627392305,0.7338507699274549,-0.4464413770154908
DAG(60:5),1.494041207207501e-05,1.4216314695898854e-06,3,2.0399727594226902e-05,1.702106730295101e-06,3,1.885579343248091,0.732382920461307,-0.44932994773502594
DAG(60:6),2.9841283994289512e-05,9.496137704103842e-06,3,3.3188637454523725e-05,3.347498713562591e-06,3,0.22505485292015773,0.8991415822713157,-0.1533797889829264
DAG(60:7),4.139770030832322e-05,3.130829100753489e-06,3,5.009288761631249e-05,4.900114511409713e-06,3,1.2169170989611369,0.8264187248579031,-0.27505515196997365
DAG(60:8),2.4000471419842145e-05,2.074868913307708e-06,3,2.5218323345405482e-05,5.931559806612712e-06,3,0.12263818979076414,0.9517076568143371,-0.07140961676955482
DAG(23:3),5.049084476818009e-05,3.814802802172681e-06,3,5.591727633382077e-05,4.665609966993005e-06,3,0.71247077505351,0.9029560822446823,-0.14727227492056566
DAG(25:3),2.3656239603009585e-05,1.7873317339166799e-06,3,2.596104860609624e-05,2.1661306678653846e-06,3,0.6416395770452222,0.9112204965963727,-0.13412789612341788
DAG(26:3),4.29714392927421e-05,4.269526734943839e-06,3,5.517882816929666e-05,9.968012422753005e-06,3,0.9101640908848655,0.7787667973103648,-0.3607367187603341
DAG(27:3),5.6933136178333426e-05,4.301545922370069e-06,3,5.3245791014142265e-05,2.607723916967392e-06,3,0.563760645193334,1.0692513923440783,0.09660108584561354
DAG(34:3),3.5669145364651204e-05,9.509924559954643e-06,3,3.434206684903475e-05,2.0410368829803536e-06,3,0.08365554732802785,1.0386429425302268,0.054699779772570144
DAG(36:3),5.896863554330408e-05,5.102052374015219e-06,3,6.848201944656227e-05,5.7139834669743824e-06,3,1.0093624074904295,0.8610820186066265,-0.21577743310559025
